date,container,dry_bulk,general_cargo,roro,tanker,cargo_total,total,cap_container_dwt,cap_dry_bulk_dwt,cap_general_cargo_dwt,cap_roro_dwt,cap_tanker_dwt
2019-01-01,8,11,2,3,42,24,66,191610,326461,10255,2898,2495676
2019-01-02,13,10,0,2,45,25,70,547743,487020,0,2013,1680733
2019-01-03,11,10,4,0,54,25,79,428426,360563,12144,0,2922246
2019-01-04,12,14,2,1,42,29,71,573967,438669,22708,8512,1559196
2019-01-05,15,13,3,1,41,32,73,557629,659561,2521,0,2151691
2019-01-06,7,15,1,2,40,25,65,129019,490939,1799,7826,2487646
2019-01-07,10,8,4,1,60,23,83,343721,226869,14350,2281,2479232
2019-01-08,8,10,8,1,42,27,69,363172,382677,58634,0,1089847
2019-01-09,7,6,4,1,26,18,44,271559,281960,9307,0,1885463
2019-01-10,10,8,6,2,43,26,69,286487,189300,25189,12097,807159
2019-01-11,8,9,4,1,49,22,71,315331,220227,4757,6926,1015141
2019-01-12,8,10,6,0,42,24,66,235034,214084,31290,0,795232
2019-01-13,7,12,2,1,28,22,50,374576,415932,5407,0,1585647
2019-01-14,8,6,4,5,43,23,66,460797,122220,17756,4518,3009894
2019-01-15,12,10,4,4,32,30,62,552642,113578,27156,13915,1447540
2019-01-16,10,19,6,1,37,36,73,477913,583847,19872,0,2347453
2019-01-17,11,13,4,0,37,28,65,353541,517151,10013,0,2146416
2019-01-18,11,7,1,0,38,19,57,393980,269350,4546,0,2116818
2019-01-19,9,11,4,2,41,26,67,313474,149061,15137,0,1566967
2019-01-20,11,14,5,2,50,32,82,379462,623089,35572,3476,1627617
2019-01-21,7,11,6,2,41,26,67,281689,370999,59561,8883,357934
2019-01-22,8,8,2,3,43,21,64,267049,378121,9020,6352,2228951
2019-01-23,5,6,0,0,38,11,49,265863,44838,0,0,2002254
2019-01-24,6,9,1,0,35,16,51,123371,223192,17519,0,2050334
2019-01-25,11,9,4,0,30,24,54,435737,253029,34051,0,1493370
2019-01-26,10,12,3,0,47,25,72,409224,337253,9592,0,1890765
2019-01-27,10,12,2,0,44,24,68,327753,617858,32752,0,2508779
2019-01-28,11,12,3,3,35,29,64,288592,369533,23678,9034,1126002
2019-01-29,11,7,4,0,38,22,60,446134,375494,11055,0,2361125
2019-01-30,7,14,4,2,44,27,71,198816,552539,11766,4234,1531906
2019-01-31,6,9,5,1,32,21,53,293004,368901,20187,2013,1806392
2019-02-01,8,8,3,0,39,19,58,282772,233110,16277,0,1851368
2019-02-02,10,3,4,1,40,18,58,357447,126345,16182,2013,2494766
2019-02-03,6,9,6,2,42,23,65,249022,205446,54444,0,1686854
2019-02-04,7,14,2,1,38,24,62,336169,370599,8381,0,1010318
2019-02-05,9,18,1,3,35,31,66,384026,251039,0,7281,634799
2019-02-06,8,12,2,0,36,22,58,297577,373934,17196,0,1085360
2019-02-07,8,17,1,5,39,31,70,244359,431909,4180,4219,1825098
2019-02-08,9,11,2,2,45,24,69,302333,278857,3152,0,989152
2019-02-09,6,10,4,0,50,20,70,217217,359963,37973,0,1709525
2019-02-10,8,12,6,0,45,26,71,375324,527123,57873,0,2500360
2019-02-11,7,9,1,2,30,19,49,393358,458930,0,0,1211492
2019-02-12,11,9,3,3,36,26,62,396885,406913,7862,8901,679577
2019-02-13,3,13,2,1,40,19,59,158819,428082,10900,0,949458
2019-02-14,9,13,6,2,44,30,74,457266,416099,3740,341,1022426
2019-02-15,10,16,5,2,40,33,73,375536,456946,18448,341,1830094
2019-02-16,11,14,2,0,47,27,74,500271,542967,6856,0,1968781
2019-02-17,4,9,2,0,34,15,49,270852,340247,4178,0,973603
2019-02-18,13,17,4,1,47,35,82,392158,363023,14049,3877,1414823
2019-02-19,8,10,7,2,38,27,65,328697,416404,27796,6764,977417
2019-02-20,10,15,5,0,46,30,76,208880,370882,16227,0,760090
2019-02-21,9,18,1,3,53,31,84,236942,360272,2720,6324,931179
2019-02-22,16,15,1,3,51,35,86,377270,521817,0,3736,1929967
2019-02-23,12,10,6,1,56,29,85,594397,479144,4919,5803,2383118
2019-02-24,13,14,3,3,45,33,78,591626,350721,39677,10575,1466085
2019-02-25,10,9,2,0,34,21,55,441722,274243,5759,0,1416791
2019-02-26,12,10,3,1,33,26,59,453473,439146,18801,3679,892455
2019-02-27,1,16,0,1,30,18,48,78576,695207,0,0,780024
2019-02-28,7,14,1,4,38,26,64,306150,225223,5265,6910,1417121
2019-03-01,8,10,3,3,55,24,79,339615,288112,12210,0,2744314
2019-03-02,13,14,3,1,40,31,71,358677,717664,8530,0,1013580
2019-03-03,7,14,1,3,48,25,73,305706,508015,4406,3496,1059240
2019-03-04,7,9,3,1,36,20,56,295692,199645,25445,2901,610519
2019-03-05,14,12,3,2,47,31,78,620848,421074,7334,0,1912592
2019-03-06,11,14,7,1,57,33,90,411827,661801,14847,0,1431073
2019-03-07,4,10,3,1,35,18,53,116283,356514,16790,0,1042593
2019-03-08,5,17,3,1,51,26,77,197968,604930,8721,3732,2380754
2019-03-09,15,10,3,1,61,29,90,886899,283269,22919,0,2364771
2019-03-10,7,7,1,2,39,17,56,439319,261993,1501,7573,776267
2019-03-11,8,11,1,1,26,21,47,242532,248768,31146,4322,516214
2019-03-12,9,7,0,2,39,18,57,328633,230937,0,3182,3360945
2019-03-13,12,15,3,1,47,31,78,274753,501198,15554,0,2385427
2019-03-14,10,9,4,3,38,26,64,373175,222404,11117,3242,1854419
2019-03-15,6,11,3,4,39,24,63,239500,401899,4018,0,2533719
2019-03-16,9,12,1,1,37,23,60,356008,298690,19909,0,1504703
2019-03-17,12,12,3,2,50,29,79,604749,422671,12120,7573,1408745
2019-03-18,6,2,1,1,34,10,44,134114,70432,4406,2884,1241617
2019-03-19,12,10,2,2,39,26,65,486753,203478,9988,0,1273998
2019-03-20,11,11,3,2,45,27,72,408014,209356,550,4602,1511595
2019-03-21,5,13,3,1,39,22,61,127072,281689,66027,3267,1583965
2019-03-22,8,14,1,1,37,24,61,265488,506447,152,0,1533779
2019-03-23,12,14,2,2,38,30,68,509366,415541,4118,0,2250838
2019-03-24,9,11,7,1,36,28,64,240386,215418,23478,3332,641687
2019-03-25,12,9,5,0,27,26,53,583064,365245,41411,0,620773
2019-03-26,9,13,1,2,38,25,63,378306,371319,0,0,949423
2019-03-27,11,6,4,4,42,25,67,434390,112006,17249,9022,860056
2019-03-28,6,7,2,1,33,16,49,221955,195082,23365,0,2131023
2019-03-29,13,19,6,2,40,40,80,640711,498708,14117,0,2165428
2019-03-30,12,11,3,0,55,26,81,448897,264507,22166,0,1876682
2019-03-31,5,10,4,3,38,22,60,166312,283412,25146,0,2000944
2019-04-01,13,14,1,1,49,29,78,596990,408659,17458,0,1337594
2019-04-02,9,12,4,2,31,27,58,295859,268716,31051,4157,1174054
2019-04-03,10,14,3,3,35,30,65,347637,258777,4000,2043,1699083
2019-04-04,2,9,1,2,23,14,37,98951,270253,20862,8236,306163
2019-04-05,9,18,2,2,47,31,78,220592,619849,8578,4684,2191199
2019-04-06,11,16,3,2,50,32,82,486460,479273,11116,7746,1626493
2019-04-07,11,9,2,1,47,23,70,434792,400295,12971,5159,1854930
2019-04-08,17,11,6,1,47,35,82,635446,245171,58881,5449,1671463
2019-04-09,7,10,4,4,58,25,83,353848,228908,17584,4340,2549512
2019-04-10,10,13,3,0,39,26,65,358549,505239,33111,0,2048066
2019-04-11,10,8,3,0,47,21,68,370168,228219,35170,0,2365827
2019-04-12,4,11,4,1,40,20,60,172073,442456,27634,3136,1103373
2019-04-13,12,11,3,3,44,29,73,485210,313813,9775,8171,1197040
2019-04-14,7,11,1,1,27,20,47,250417,238938,15240,0,1012999
2019-04-15,8,24,4,4,49,40,89,288816,1093914,19259,8171,1582141
2019-04-16,16,14,6,2,43,38,81,645006,575214,22222,9542,2001985
2019-04-17,10,22,6,3,48,41,89,262916,989915,24390,7538,3554368
2019-04-18,8,15,1,0,44,24,68,326788,412040,0,0,2543778
2019-04-19,13,17,2,1,67,33,100,549336,347805,9368,0,3293738
